Trace,HR,Time,Each_vid_frame_size
1.2872511,100,9.793,
1.8474391,100,9.834,
1.8887559,100,9.86,
1.757326,100,9.902,
1.4832471,100,9.929,
1.0709797,100,9.961,
0.63843695,100,9.992,
0.35521154,100,10.034,
0.2329281,100,10.075,
0.037698113,100,10.117,
-0.3227542,100,10.158,
-0.84842884,100,10.199,
-1.1702677,100,10.243,
-0.69073096,100,10.285,
0.3500751,100,10.326,
1.1855585,100,10.368,
1.2151607,100,10.409,
0.98388544,100,10.45,
0.66096522,100,10.491,
0.20287539,100,10.532,
-0.067463849,100,10.575,
-0.17258076,100,10.588,
-0.21763729,100,10.631,
-0.30775037,100,10.643,
-0.50298036,100,10.685,
-0.62314615,100,10.697,
-0.79692922,100,10.738,
-0.93854192,100,10.75,
-1.0222119,100,10.792,
-0.98359846,100,10.803,
-0.40538789,100,10.849,
0.30803735,100,10.861,
1.2467002,100,10.905,
1.7761146,100,10.929,
1.809907,100,10.962,
1.809907,100,10.994,
1.6822618,100,11.03,
1.3593416,100,11.062,
1.0439458,100,11.094,
0.78861039,100,11.13,
0.64970108,100,11.161,
0.53931256,100,11.192,
0.39062598,100,11.229,
0.26298081,100,11.271,
0.2329281,100,11.312,
0.15781885,100,11.353,
0.16534329,100,11.394,
0.96883655,100,11.435,
2.1027745,100,11.476,
2.7709629,100,11.518,
2.7786226,100,11.558,
2.5833926,100,11.6,
2.200412,100,11.642,
1.6672129,100,11.683,
1.3368133,100,11.725,
1.1265344,100,11.766,
0.75860274,100,11.807,
0.338045,100,11.849,
0.000120959,100,11.89,
-0.24016556,100,11.931,
-0.014882868,100,11.972,
0.67448218,100,12.014,
1.4494547,100,12.055,
1.6672129,100,12.096,
1.4043981,100,12.138,
1.1115306,100,12.179,
0.72855003,100,12.22,
0.43568252,100,12.261,
0.22540366,100,12.303,
-0.04493558,100,12.343,
-0.45792382,100,12.385,
-0.86343267,100,12.428,
-1.0737115,100,12.439,
-1.1337719,100,12.48,
-0.8033723,100,12.521,
0.15033946,100,12.562,
1.2542247,100,12.603,
1.458466,100,12.645,
1.2692285,102,12.657,
0.95946479,102,12.699,
0.72855003,102,12.711,
0.40562981,102,12.753,
0.2329281,102,12.765,
0.007645401,102,12.806,
-0.11252039,102,12.818,
-0.26269383,102,12.859,
-0.38285962,102,12.87,
-0.66067824,102,12.911,
-0.84842884,102,12.93,
-0.96107019,102,12.961,
-1.1638246,102,12.992,
-1.4521865,102,13.03,
-1.7045031,102,13.061,
-1.61439,102,13.092,
-0.98359846,102,13.13,
-0.046422446,102,13.161,
0.5843691,102,13.193,
0.65645957,102,13.23,
0.49574289,102,13.27,
0.24793192,102,13.296,
-0.052414965,102,13.33,
-0.47896522,102,13.36,
-0.66820269,102,13.395,
-0.66820269,102,13.429,
-0.74029315,102,13.461,
-0.96107019,102,13.492,
-1.1863529,102,13.529,
-1.4161412,102,13.563,
-1.4611978,102,13.594,
-1.4792204,102,13.63,
-1.4521865,102,13.663,
-1.2088812,102,13.694,
-0.52550863,102,13.732,
0.54832387,102,13.763,
1.1115306,102,13.795,
1.2767529,102,13.83,
1.2467002,102,13.861,
1.1415833,102,13.897,
0.89075357,102,13.929,
0.48524472,102,13.962,
0.20589417,102,13.993,
0.11276231,102,14.034,
0.07523021,102,14.075,
-0.046422446,102,14.117,
-0.3227542,102,14.158,
-0.50298036,102,14.2,
-0.53303307,102,14.212,
-0.57056517,102,14.254,
-0.53303307,102,14.266,
-0.007358426,102,14.307,
0.73981416,102,14.33,
1.5125338,102,14.36,
1.8324352,102,14.403,
1.6522091,103,14.43,
1.5305564,103,14.462,
1.3593416,103,14.492,
1.1115306,103,14.533,
0.62343312,103,14.574,
0.30051291,103,14.616,
0.10528292,103,14.657,
0.007645401,103,14.699,
-0.15757693,103,14.74,
-0.44291999,103,14.781,
-0.6982554,103,14.822,
-0.81837613,103,14.864,
-0.17258076,103,14.904,
1.1115306,103,14.945,
1.90002,103,14.987,
1.7288052,104,15.028,
1.2692285,104,15.07,
1.0439458,104,15.082,
0.79613484,104,15.123,
0.63843695,104,15.135,
0.41315425,104,15.176,
0.17286773,104,15.188,
-0.15005249,104,15.23,
-0.37533518,104,15.242,
-0.74331194,104,15.283,
-0.93854192,104,15.295,
-0.98359846,104,15.337,
-0.96107019,104,15.361,
-0.98359846,104,15.403,
-1.028655,104,15.429,
-0.81238361,104,15.461,
-0.17258076,104,15.493,
0.71953872,104,15.53,
1.3232963,104,15.561,
1.3503303,104,15.592,
1.1265344,106,15.63,
0.7510783,106,15.661,
0.45821079,106,15.695,
-0.067463849,106,15.736,
-0.51802924,106,15.778,
-0.68320651,106,15.819,
-0.83342502,106,15.86,
-1.1187681,106,15.902,
-1.40198,106,15.948,
-1.5468052,106,15.959,
-1.5392943,106,16,
-0.81089675,106,16.041,
-0.26269383,106,16.052,
0.54832387,106,16.094,
0.90877618,106,16.105,
0.98086665,106,16.148,
0.89377236,107,16.161,
0.72102559,107,16.203,
0.36809771,107,16.229,
0.070724556,107,16.261,
-0.26269383,107,16.292,
-0.54055751,107,16.335,
-0.62314615,107,16.362,
-0.62314615,107,16.403,
-0.77331959,107,16.444,
-0.9911229,107,16.485,
-1.2389339,107,16.527,
-1.0962398,107,16.568,
-0.029886696,107,16.61,
1.0589496,107,16.651,
1.3893943,107,16.697,
1.2992812,107,16.708,
1.1265344,107,16.75,
1.1265344,107,16.75,
0.72291796,107,16.803,
0.36809771,107,16.816,
0.25545637,107,16.83,
-0.037411138,107,16.871,
-0.38659932,107,16.892,
-0.63215745,107,16.934,
-0.75831576,107,16.961,
-0.86645146,107,16.992,
-1.0827228,107,17.029,
-1.3260282,107,17.061,
-1.3620734,107,17.095,
-0.86645146,107,17.129,
0.09775848,107,17.162,
1.0169119,107,17.193,
1.3863755,107,17.23,
1.2512059,107.67,17.262,
0.95383272,109,17.293,
0.5843691,109,17.331,
0.19688287,109,17.361,
-0.20862599,109,17.392,
-0.48045209,109,17.434,
-0.64567442,109,17.461,
-0.79584786,109,17.502,
-0.97233433,109,17.528,
-1.1337719,109,17.569,
-1.2539377,109,17.592,
-1.112325,109,17.634,
-0.55556134,109,17.662,
0.27798464,109,17.696,
1.1520815,109,17.728,
1.5020356,109.2,17.769,
1.314285,110,17.793,
0.90877618,110,17.835,
0.50326733,110,17.86,
0.082754652,110,17.894,
-0.30775037,110,17.93,
-0.54204438,110,17.961,
-0.64116876,110,17.994,
-0.8033723,110,18.03,
-1.0647002,110,18.06,
-1.3350395,110,18.094,
-1.5062543,110,18.13,
-1.497243,110,18.161,
-1.1863529,110,18.192,
-0.17258076,110,18.233,
0.81866311,110,18.274,
1.1040062,110,18.315,
0.92378001,109,18.357,
0.65344078,109,18.398,
0.24045254,109,18.439,
-0.13504866,109,18.48,
-0.27769766,109,18.521,
-0.51802924,109,18.563,
-0.93101748,109,18.604,
-1.1488208,109,18.646,
-1.1638246,109,18.686,
-0.97607402,109,18.728,
-0.16505631,109,18.769,
0.87124409,109,18.81,
1.3443377,109,18.851,
1.1881267,109,18.893,
1.0439458,109,18.904,
0.82618755,109,18.947,
0.68349349,109,18.959,
0.4882635,109,19,
0.338045,109,19.012,
0.24045254,109,19.053,
0.2329281,109,19.066,
0.13637193,109,19.107,
0.052701941,109,19.119,
-0.073456369,109,19.161,
-0.26269383,109,19.173,
-0.40687476,109,19.215,
-0.62314615,109,19.229,
-0.87848155,109,19.271,
-0.84842884,109,19.292,
-0.11252039,109,19.334,
0.69475762,109,19.36,
1.4644585,109,19.402,
1.5666017,109,19.429,
1.4764886,109,19.462,
1.3030209,108,19.492,
0.88174226,108,19.528,
0.32304118,108,19.569,
-0.10499595,108,19.61,
-0.44291999,108,19.652,
-0.72078367,108,19.693,
-1.028655,108,19.735,
-1.1788284,108,19.777,
-1.3290334,108,19.818,
-1.2164056,108,19.862,
-0.75831576,108,19.873,
-0.029886696,108,19.915,
0.57837658,108,19.957,
0.49574289,108,19.998,
0.22540366,108,20.039,
-0.1801052,108,20.081,
-0.73128184,108,20.122,
-1.028655,108,20.134,
-1.3290334,108,20.175,
-1.4792204,108,20.186,
-1.5768444,108,20.229,
-1.61439,108,20.24,
-1.7045031,108,20.282,
-1.7045031,108,20.296,
-1.7045031,108,20.337,
-1.7045031,108,20.349,
-1.7045031,108,20.39,
-1.7045031,108,20.402,
-1.1097568,108,20.444,
0.037698113,108,20.485,
0.39062598,108,20.527,
0.15781885,108,20.568,
-0.16505631,108,20.609,
-0.66820269,108,20.651,
-1.0887154,108,20.692,
-1.1788284,108,20.733,
-1.1713491,108,20.775,
-1.4041247,108,20.816,
-1.61439,108,20.857,
-1.61439,108,20.898,
-1.61439,108,20.943,
-1.5242769,108,20.954,
-0.90100982,108,20.995,
0.007645401,108,21.007,
0.57535779,108,21.048,
0.81866311,108,21.06,
0.69849732,108,21.102,
0.59338041,108,21.114,
0.36809771,108,21.155,
0.20287539,108,21.167,
-0.059939407,108,21.208,
-0.26269383,108,21.23,
-0.45792382,108,21.271,
-0.60061788,108,21.295,
-0.76732707,108,21.328,
-1.0511833,108,21.369,
-1.3515617,108,21.411,
-1.5918617,108,21.452,
-1.5543161,108,21.494,
-1.2088812,108,21.505,
-0.64567442,108,21.546,
0.14281502,108,21.561,
0.95383272,108,21.603,
1.3893943,108,21.645,
1.314285,108,21.661,
1.1040062,108,21.703,
0.77360657,108,21.729,
0.338045,108,21.77,
-0.003618733,108,21.793,
-0.37533518,108,21.835,
-0.60061788,108,21.86,
-0.66820269,108,21.901,
-0.8033723,108,21.942,
-0.96107019,108,21.961,
-1.1007455,108,22.003,
-1.1908585,108,22.031,
-1.0737115,108,22.062,
-0.53303307,108,22.094,
0.36809771,108,22.13,
1.1791154,108,22.162,
1.2602172,108.25,22.195,
1.0529571,109,22.229,
0.78261788,109,22.263,
0.48524472,109,22.294,
0.079735864,109,22.329,
-0.28071645,109,22.362,
-0.50599915,109,22.394,
-0.65018007,109,22.429,
-0.83040623,109,22.462,
-1.0196437,109,22.493,
-1.2178925,109,22.529,
-1.4251525,109,22.563,
-1.5242769,109,22.593,
-1.1998698,109,22.629,
-0.28071645,109,22.661,
0.7135462,109,22.702,
1.1040062,109.2,22.743,
0.94482142,110,22.784,
0.53332004,110,22.826,
0.060226383,110,22.868,
-0.30775037,110,22.88,
-0.56308578,110,22.921,
-0.66820269,110,22.933,
-0.77331959,110,22.974,
-0.90848921,110,22.992,
-1.1037643,110,23.034,
-1.4521865,110,23.06,
-1.7045031,110,23.103,
0.18142847,110,23.13,
0.74355386,110,23.353,
0.54079943,110,23.395,
0.39062598,110,23.407,
0.082754652,110,23.449,
-0.21763729,110,23.461,
-0.43390868,110,23.502,
-0.65319886,110,23.543,
-0.79584786,110,23.584,
-0.96859463,110,23.625,
-1.0661871,110,23.667,
-1.3215225,110,23.708,
-1.081236,110,23.749,
0.060226383,110,23.79,
1.197138,110,23.833,
1.4832471,110,23.845,
1.3503303,109.25,23.887,
1.1340589,109,23.899,
0.92378001,109,23.941,
0.81866311,109,23.953,
0.59338041,109,23.995,
0.41315425,109,24.007,
0.30803735,109,24.048,
0.25545637,109,24.061,
0.21792427,109,24.103,
0.2329281,109,24.129,
0.25545637,109,24.16,
0.31551673,109,24.201,
0.28550908,109,24.243,
0.09775848,109,24.284,
0.39062598,109,24.328,
0.98388544,109,24.339,
1.952601,109,24.381,
2.6569699,109,24.421,
2.5458154,109,24.463,
2.1928876,109,24.504,
1.6597335,109,24.545,
1.3893943,109,24.557,
1.0890023,109,24.598,
0.93130445,109,24.61,
0.74355386,109,24.654,
0.59338041,109,24.666,
0.39062598,109,24.707,
0.17286773,109,24.728,
0.022649229,109,24.771,
-0.15005249,109,24.795,
-0.23565991,109,24.828,
-0.010377214,109,24.861,
0.68349349,109,24.892,
1.5470922,109,24.933,
1.9600804,109,24.974,
1.7197939,109,25.015,
1.341319,109,25.057,
0.79933385,109,25.099,
0.35908641,109,25.14,
0.14281502,109,25.181,
-0.10499595,109,25.224,
-0.30775037,109,25.234,
-0.5480369,109,25.276,
-0.83342502,109,25.317,
-1.2314094,109,25.358,
-1.2539377,109,25.401,
-0.90474952,109,25.413,
0.15033946,109,25.454,
0.99888926,109,25.466,
1.3953868,109,25.507,
1.4494547,109,25.519,
1.2842323,108.75,25.56,
1.1791154,108,25.572,
0.95383272,108,25.614,
0.77360657,108,25.631,
0.51227864,108,25.661,
0.27798464,108,25.695,
0.13380371,108,25.728,
-0.001365907,108,25.76,
-0.24016556,108,25.801,
-0.48045209,108,25.843,
-0.65319886,108,25.861,
-0.79584786,108,25.902,
-0.87848155,108,25.944,
-0.57808961,108,25.961,
0.338045,108,26.003,
1.3255492,108,26.028,
1.9600804,108,26.069,
2.0577179,108,26.111,
1.9450766,108,26.13,
1.7347977,108,26.172,
1.4945112,108,26.196,
1.2512059,108,26.23,
0.93581011,108,26.261,
0.69849732,108,26.295,
0.45821079,108,26.329,
0.19688287,108,26.361,
0.007645401,108,26.395,
-0.17258076,108,26.429,
-0.40687476,108,26.462,
-0.64567442,108,26.495,
-0.69073096,108,26.528,
-0.091478985,108,26.562,
0.91778749,108,26.593,
1.8189183,108,26.629,
2.1433254,108,26.661,
2.0577179,108,26.693,
1.8163501,108.6,26.735,
1.393134,109,26.762,
1.0552099,109,26.792,
0.66848966,109,26.833,
0.43248351,109,26.877,
0.14281502,109,26.918,
-0.14554683,109,26.959,
-0.50298036,109,27,
-0.66067824,109,27.041,
-0.83342502,109,27.082,
-0.48045209,109,27.123,
0.63091251,109,27.165,
1.7122694,109,27.206,
1.9375521,109,27.248,
1.809907,109,27.259,
1.509515,110,27.301,
1.314285,110,27.314,
0.96883655,110,27.355,
0.68349349,110,27.368,
0.5257956,110,27.408,
0.45821079,110,27.42,
0.36809771,110,27.461,
0.27798464,110,27.473,
0.07523021,110,27.514,
-0.14252804,110,27.529,
-0.37082953,110,27.571,
-0.5442972,110,27.594,
-0.86343267,110,27.636,
-1.0511833,110,27.662,
-0.83941753,110,27.694,
0.16534329,110,27.729,
1.224172,110,27.761,
1.90002,110,27.792,
1.9826087,110,27.83,
1.9112842,110,27.861,
1.8008957,110,27.892,
1.4494547,110,27.935,
0.94630828,110,27.976,
0.60838424,110,28.017,
0.32304118,110,28.058,
0.060226383,110,28.1,
-0.12752422,110,28.113,
-0.30022593,110,28.154,
-0.39786345,110,28.166,
-0.5480369,110,28.207,
-0.66820269,110,28.23,
-0.63215745,110,28.261,
-0.064445061,110,28.292,
0.91778749,110,28.329,
1.9180427,110,28.361,
2.3415741,110,28.392,
2.3415741,110,28.429,
2.2064045,110,28.461,
1.9540879,110,28.493,
1.5395677,110,28.529,
1.1881267,110,28.562,
0.94482142,110,28.596,
0.78261788,110,28.63,
0.48524472,110,28.661,
0.16534329,110,28.693,
-0.059939407,110,28.728,
-0.29873906,110,28.76,
-0.59309344,110,28.802,
-0.64567442,110,28.844,
0.21039983,110,28.885,
1.5020356,110,28.926,
2.09525,110,28.968,
1.9450766,110,29.01,
1.6296808,110,29.021,
1.3893943,110,29.063,
1.0439458,110,29.075,
0.69101793,110,29.117,
0.50326733,110,29.129,
0.32304118,110,29.17,
0.13155088,110,29.192,
-0.18758458,110,29.234,
-0.53303307,110,29.261,
-0.67721399,110,29.297,
-0.74029315,110,29.328,
-0.79584786,110,29.37,
-0.52176893,110,29.397,
0.18787156,110,29.428,
1.1866399,110,29.469,
1.6822618,110,29.51,
1.5470922,110,29.552,
1.4043981,110,29.564,
1.0138931,110,29.607,
0.63843695,110,29.63,
0.30501856,110,29.663,
0.070724556,110,29.698,
0.052701941,110,29.73,
0.025668017,110,29.761,
-0.15005249,110,29.794,
-0.3437956,110,29.829,
-0.66067824,110,29.861,
-0.84842884,110,29.897,
-0.47896522,110,29.929,
0.3500751,110,29.961,
1.2602172,110,29.992,
1.6837487,110,30.035,
1.6206695,110.33,30.063,
1.2692285,111,30.097,
0.79162918,111,30.131,
0.36809771,111,30.163,
0.07523021,111,30.194,
-0.089992119,111,30.228,
-0.36181822,111,30.261,
-0.5690783,111,30.296,
-0.76732707,111,30.328,
-0.90249669,111,30.361,
-1.1007455,111,30.394,
-1.1097568,111,30.428,
-0.48045209,111,30.469,
0.45821079,111,30.496,
1.366866,111,30.537,
1.7085298,111,30.562,
1.7648504,111,30.592,
1.6822618,111,30.635,
1.575613,111,30.662,
1.2512059,111,30.697,
0.8561952,111,30.738,
0.50326733,111,30.78,
0.27798464,111,30.821,
0.090234038,111,30.863,
-0.10499595,111,30.903,
-0.45792382,111,30.944,
-0.2852221,111,30.985,
0.79613484,111,31.026,
2.017167,111,31.067,
2.5458154,111,31.108,
2.5533399,111,31.15,
2.2304196,112,31.191,
1.7723749,112,31.232,
1.3368133,112,31.273,
0.99888926,112,31.314,
0.66096522,112,31.355,
0.28550908,112,31.397,
0.052701941,112,31.438,
-0.1801052,112,31.479,
-0.29274655,112,31.52,
0.34556945,112,31.561,
1.431432,112,31.602,
2.1253027,112,31.643,
2.1328272,112,31.684,
1.9150239,113,31.728,
1.7498466,113,31.739,
1.3292889,113,31.781,
0.90877618,113,31.793,
0.66848966,113,31.835,
0.45821079,113,31.847,
0.32304118,113,31.89,
0.2329281,113,31.902,
-0.007358426,113,31.944,
-0.20263347,113,31.955,
-0.55556134,113,31.997,
-0.73578749,113,32.008,
-0.96107019,113,32.049,
-1.0737115,113,32.06,
-0.8033723,113,32.101,
0.26298081,113,32.143,
1.1565872,113,32.184,
1.366866,113,32.226,
1.1565872,113,32.267,
0.70602176,113,32.31,
0.195396,113,32.351,
-0.22516174,113,32.393,
-0.42791616,113,32.434,
-0.66067824,113,32.475,
-1.1037643,113,32.517,
-1.5873561,113,32.558,
-1.5873561,113,32.599,
-1.5873561,113,32.612,
-1.61439,113,32.653,
-1.1187681,113,32.665,
-0.18159206,113,32.706,
0.59338041,113,32.718,
0.99888926,113,32.761,
1.0439458,113,32.772,
0.8830489,113,32.813,
0.81866311,113,32.83,
0.75860274,113,32.871,
0.39513164,113,32.897,
0.030173671,113,32.929,
-0.19961468,113,32.961,
-0.30775037,113,32.993,
-0.37984084,113,33.029,
-0.53303307,113,33.061,
-0.76732707,113,33.097,
-0.92051931,113,33.129,
-1.028655,113,33.161,
-1.1367907,113,33.192,
-0.84842884,113,33.228,
-0.02240731,113,33.269,
1.1641116,113,33.311,
1.6972656,113,33.352,
1.7122694,113,33.393,
1.4419302,113,33.434,
1.0214175,113,33.477,
0.55584831,113,33.518,
0.29298846,113,33.559,
0.27798464,113,33.57,
0.18034712,113,33.612,
-0.089992119,113,33.653,
-0.42791616,113,33.696,
-0.53303307,113,33.707,
-0.59309344,113,33.748,
-0.66067824,113,33.789,
0.007645401,113,33.83,
1.0739985,113,33.871,
1.8549635,113,33.913,
1.8174314,113,33.954,
1.6372053,113,33.996,
1.2316964,113,34.037,
0.59338041,113,34.078,
0.27798464,113,34.089,
-0.02240731,113,34.13,
-0.12752422,113,34.141,
-0.36569308,113,34.185,
-0.62314615,113,34.197,
-0.82590057,113,34.238,
-1.0737115,113,34.25,
-1.1938773,113,34.292,
-1.2989942,113,34.303,
-1.366579,113,34.345,
-1.2839904,113,34.36,
-0.6982554,113,34.401,
0.15182633,113,34.443,
0.54832387,113,34.463,
0.63843695,113,34.498,
0.49425602,113,34.529,
0.27798464,113,34.562,
-0.02839983,113,34.595,
-0.48797653,113,34.63,
-0.90848921,113,34.661,
-1.1728359,113,34.697,
-1.2989942,113,34.729,
-1.3778432,113,34.763,
-1.5603222,113,34.795,
-1.5603222,113,34.831,
-1.5603222,113,34.862,
-1.5603222,113,34.897,
-1.5693335,113,34.929,
-1.028655,113,34.962,
